row_id,series_id,measurement_number,orientation_X,orientation_Y,orientation_Z,orientation_W,angular_velocity_X,angular_velocity_Y,angular_velocity_Z,linear_acceleration_X,linear_acceleration_Y,linear_acceleration_Z
26_0,26,0,-0.81261,-0.56434,-0.089395,-0.11487,-0.010546999999999999,-0.055072,0.15614,-0.36574,2.4346,-8.8285
26_1,26,1,-0.81271,-0.56418,-0.089417,-0.11490999999999998,-0.020553000000000002,-0.029883,0.1578,0.20795,2.2613,-9.2298
26_2,26,2,-0.81282,-0.56403,-0.089443,-0.1149,-0.0087276,-0.0017419,0.14922,0.14706,2.4904,-9.2244
26_3,26,3,-0.81292,-0.56387,-0.08944500000000001,-0.11492000000000001,-0.013146000000000001,-0.027575,0.14803,-0.054451,2.5994,-9.0556
26_4,26,4,-0.81303,-0.56371,-0.089428,-0.11495,-0.017664,-0.05053,0.15237,0.39485,2.8558,-9.199
26_5,26,5,-0.81315,-0.56353,-0.089399,-0.11499000000000001,-0.013531999999999999,-0.040257,0.14403,0.10726,2.3244,-10.052
26_6,26,6,-0.81325,-0.56339,-0.089417,-0.11498,-0.0046715,-0.0052661,0.13999,0.55035,2.199,-9.9923
26_7,26,7,-0.81335,-0.56325,-0.089416,-0.11499000000000001,-0.00581,-0.024191999999999998,0.13769,-0.016923,2.6755,-9.331
26_8,26,8,-0.81345,-0.5631,-0.089392,-0.11503,-0.020041,-0.056213,0.13185,0.25539,2.7293,-9.4643
26_9,26,9,-0.8135600000000001,-0.56293,-0.089383,-0.11506,-0.016873,-0.036514,0.13011,0.067272,2.2862,-10.012
26_10,26,10,-0.81365,-0.5628,-0.089403,-0.11507,-0.01433,-0.0075325,0.11913,0.21841,2.5336,-9.7274
26_11,26,11,-0.8137300000000001,-0.5626800000000001,-0.08942,-0.11507,-0.012298,-0.0082493,0.11949000000000001,0.40838,2.2898,-9.2964
26_12,26,12,-0.81382,-0.56255,-0.089395,-0.11510999999999999,-0.010519,-0.049125999999999996,0.1176,0.22069,2.2208,-9.0317
26_13,26,13,-0.81392,-0.56239,-0.089383,-0.11515999999999998,-0.022456,-0.035876,0.11759000000000001,0.60507,2.6739,-8.9318
26_14,26,14,-0.81399,-0.5622699999999999,-0.08941,-0.11519000000000001,-0.031398,-0.010551999999999999,0.11345,0.5383,2.4857,-9.137
26_15,26,15,-0.81407,-0.56215,-0.089443,-0.11523,-0.038587,-0.010417000000000001,0.11433,0.53398,2.5217,-9.0934
26_16,26,16,-0.81416,-0.56202,-0.089435,-0.11528,-0.032297,-0.047648,0.1195,0.3615,2.7335,-9.0159
26_17,26,17,-0.81425,-0.56187,-0.089398,-0.11532,-0.028299,-0.046445,0.11977,0.85583,2.4482,-9.7889
26_18,26,18,-0.81434,-0.56175,-0.089417,-0.11534000000000001,-0.024681,-0.015031999999999998,0.12113,0.78585,2.8797,-9.5361
26_19,26,19,-0.8144100000000001,-0.56162,-0.08945,-0.11538,-0.040536,-0.013198,0.11871,0.80393,3.4332,-8.9732
26_20,26,20,-0.8145100000000001,-0.56147,-0.08945499999999999,-0.11545,-0.052799,-0.049996,0.1323,1.1228,3.2929,-9.3327
26_21,26,21,-0.8146100000000001,-0.5613199999999999,-0.089418,-0.11552,-0.045772,-0.064452,0.13893,0.79704,3.08,-9.896
26_22,26,22,-0.8147,-0.56117,-0.089401,-0.11555,-0.013471,-0.045247,0.13295,1.021,3.25,-9.8525
26_23,26,23,-0.8148,-0.56103,-0.089405,-0.11557,-0.015724000000000002,-0.026452999999999997,0.13721,0.93284,3.9553,-9.043
26_24,26,24,-0.8149,-0.56087,-0.089385,-0.11562,-0.029269999999999997,-0.060061,0.1432,0.7842600000000001,4.0407,-8.5299
26_25,26,25,-0.81501,-0.5607,-0.08937,-0.11573,-0.04189,-0.07861699999999999,0.1461,1.0112,3.9069,-8.9499
26_26,26,26,-0.81511,-0.5605399999999999,-0.089344,-0.11579,-0.028123000000000002,-0.065261,0.14306,0.49991,3.9764,-9.3392
26_27,26,27,-0.81521,-0.5603899999999999,-0.08933200000000001,-0.11582,-0.015451,-0.042488,0.13675,0.84821,4.0974,-9.2721
26_28,26,28,-0.8153100000000001,-0.56024,-0.089298,-0.11585999999999999,-0.0086918,-0.0587,0.14056,0.39587,4.3116,-8.6705
